energy,intensity,InitialState,FinalState,alpha,Hf,gamma
1392.50,0.009,2769.940_214PO,1377.678_214PO,0,0.000,1
1401.52,1.3303,2010.830_214PO,609.316_214PO,0.0053,0.000,1
1407.99,2.3945,2017.309_214PO,609.316_214PO,0.00389,0.000,1
1415.80,0.0,1415.495_214PO,0.000_214PO,0,9.900e-11,1
1419.70,0.0053,2694.620_214PO,1274.766_214PO,0,0.000,1
1449.20,0.018,2826.980_214PO,1377.678_214PO,0,0.000,1
1470.90,0.0092,3014.110_214PO,1543.372_214PO,0,0.000,1
1479.17,0.055,2088.440_214PO,609.316_214PO,0,0.000,1
1481.30,0.0009,3142.580_214PO,1661.279_214PO,0,0.000,1
1483.50,0.013,2860.890_214PO,1377.678_214PO,0,0.000,1
1509.21,2.1304,2118.533_214PO,609.316_214PO,0.00732,0.000,1
1515.50,0.0068,2893.580_214PO,1377.678_214PO,0,0.000,1
1532.80,0.0,3262.400_214PO,1729.609_214PO,0,0.000,1
1538.53,0.3981,2147.830_214PO,609.316_214PO,0,0.000,1
1543.34,0.3031,1543.372_214PO,0.000_214PO,0.00333,0.000,1
1583.20,0.7051,2192.537_214PO,609.316_214PO,0.00642,0.000,1
1594.75,0.2671,2204.089_214PO,609.316_214PO,0.00644,0.000,1
1595.00,0.005,2869.600_214PO,1274.766_214PO,0,0.000,1
1598.00,0.006,3014.110_214PO,1415.495_214PO,0,0.000,1
1599.37,0.3241,2208.690_214PO,609.316_214PO,0,0.000,1
1636.36,0.0115,3014.110_214PO,1377.678_214PO,0,0.000,1
1637.00,0.006,3053.930_214PO,1415.495_214PO,0,0.000,1
1644.00,0.0,3022.300_214PO,1377.678_214PO,0,0.000,1
1657.07,0.048,2266.410_214PO,609.316_214PO,0,0.000,1
1661.27,1.0472,1661.279_214PO,0.000_214PO,0.00296,0.000,1
1665.90,0.0067,2940.670_214PO,1274.766_214PO,0,0.000,1
1676.10,0.005,3053.930_214PO,1377.678_214PO,0,0.000,1
1684.01,0.214,2293.358_214PO,609.316_214PO,0,0.000,1
1693.40,0.0,2967.600_214PO,1274.766_214PO,0,0.000,1
1711.00,0.0018,2986.240_214PO,1274.766_214PO,0,0.000,1
1717.00,0.0,3094.010_214PO,1377.678_214PO,0,0.000,1
1723.70,0.0,3000.000_214PO,1274.766_214PO,0,0.000,1
1729.60,2.8786,1729.609_214PO,0.000_214PO,0.00278,0.000,1
1739.10,0.0,2348.300_214PO,609.316_214PO,0,0.000,1
1747.20,0.0,3022.300_214PO,1274.766_214PO,0,0.000,1
1751.60,0.001,2360.570_214PO,609.316_214PO,0,0.000,1
1764.49,15.3032,1764.515_214PO,0.000_214PO,0.00511,0.000,1
1813.72,0.011,2423.230_214PO,609.316_214PO,0,0.000,1
1819.20,0.0014,3094.010_214PO,1274.766_214PO,0,0.000,1
1838.36,0.3501,2447.702_214PO,609.316_214PO,0,0.000,1
1847.43,2.0254,1847.443_214PO,0.000_214PO,0,0.000,1
1873.16,0.214,2482.468_214PO,609.316_214PO,0,0.000,1
1890.32,0.084,1890.306_214PO,0.000_214PO,0,0.000,1
1896.05,0.149,2505.370_214PO,609.316_214PO,0,0.000,1
1898.68,0.05,2508.170_214PO,609.316_214PO,0,0.000,1
1935.62,0.032,2544.960_214PO,609.316_214PO,0,0.000,1
1943.70,0.0,2553.000_214PO,609.316_214PO,0,0.000,1
1953.40,0.0,2562.400_214PO,609.316_214PO,0,0.000,1
1994.60,0.007,2604.680_214PO,609.316_214PO,0,0.000,1
2010.82,0.0444,2010.830_214PO,0.000_214PO,0,0.000,1
2016.70,0.0,2017.309_214PO,0.000_214PO,0,0.000,1
2021.55,0.0205,2630.860_214PO,609.316_214PO,0,0.000,1
2052.97,0.069,2662.310_214PO,609.316_214PO,0,0.000,1
2085.19,0.044,2694.620_214PO,609.316_214PO,0,0.000,1
2089.67,0.0453,2698.760_214PO,609.316_214PO,0,0.000,1
2109.98,0.085,2719.270_214PO,609.316_214PO,0,0.000,1
2118.51,1.1602,2118.533_214PO,0.000_214PO,0.00356,0.000,1
2120.00,0.007,2728.609_214PO,609.316_214PO,0,0.000,1
2147.99,0.0137,2147.830_214PO,0.000_214PO,0,0.000,1
2160.40,0.0018,2769.940_214PO,609.316_214PO,0,0.000,1
2176.54,0.0033,2785.960_214PO,609.316_214PO,0,0.000,1
2184.80,0.0,2794.100_214PO,609.316_214PO,0,0.000,1
2192.59,0.042,2192.537_214PO,0.000_214PO,0,0.000,1
2193.30,0.0,2802.530_214PO,609.316_214PO,0,0.000,1
2204.06,4.925,2204.089_214PO,0.000_214PO,0.00333,0.000,1
2251.51,0.0058,2860.890_214PO,609.316_214PO,0,0.000,1
2260.27,0.0087,2869.600_214PO,609.316_214PO,0,0.000,1
2266.53,0.0166,2266.410_214PO,0.000_214PO,0,0.000,1
2270.90,0.0013,2880.360_214PO,609.316_214PO,0,0.000,1
2284.34,0.005,2893.580_214PO,609.316_214PO,0,0.000,1
2287.65,0.0045,2896.980_214PO,609.316_214PO,0,0.000,1
2293.38,0.3071,2293.358_214PO,0.000_214PO,0,0.000,1
2310.20,0.0014,2919.500_214PO,609.316_214PO,0,0.000,1
2312.42,0.0088,2921.900_214PO,609.316_214PO,0,0.000,1
2319.30,0.0004,2928.560_214PO,609.316_214PO,0,0.000,1
2325.16,0.0017,2934.540_214PO,609.316_214PO,0,0.000,1
2331.36,0.0217,2940.670_214PO,609.316_214PO,0,0.000,1
2348.00,0.0001,2348.300_214PO,0.000_214PO,0,0.000,1
2353.50,0.0004,2962.800_214PO,609.316_214PO,0,0.000,1
2358.00,0.0,2967.600_214PO,609.316_214PO,0,0.000,1
2360.98,0.0016,2360.570_214PO,0.000_214PO,0,0.000,1
2369.54,0.0028,2978.930_214PO,609.316_214PO,0,0.000,1
2376.91,0.0089,2986.240_214PO,609.316_214PO,0,0.000,1
2390.83,0.0016,3000.000_214PO,609.316_214PO,0,0.000,1
2396.50,0.0,3005.800_214PO,609.316_214PO,0,0.000,1
2405.10,0.0004,3014.110_214PO,609.316_214PO,0,0.000,1
2413.10,0.0,3022.300_214PO,609.316_214PO,0,0.000,1
2421.00,0.0,3030.300_214PO,609.316_214PO,0,0.000,1
2423.34,0.0049,2423.230_214PO,0.000_214PO,0,0.000,1
2430.00,0.0,3039.300_214PO,609.316_214PO,0,0.000,1
2444.70,0.0082,3053.930_214PO,609.316_214PO,0,0.000,1
2447.70,1.5483,2447.702_214PO,0.000_214PO,0.00142,0.000,1
2459.00,0.0,3068.300_214PO,609.316_214PO,0,0.000,1
2469.40,0.0,3078.700_214PO,609.316_214PO,0,0.000,1
2472.90,0.0023,3081.800_214PO,609.316_214PO,0,0.000,1
2482.80,0.002,2482.468_214PO,0.000_214PO,0,0.000,1
2482.80,0.0,3094.010_214PO,609.316_214PO,0,0.000,1
2505.48,0.0056,2505.370_214PO,0.000_214PO,0,0.000,1
2529.70,0.0,3139.000_214PO,609.316_214PO,0,0.000,1
2540.30,0.0,3149.200_214PO,609.316_214PO,0,0.000,1
2550.70,0.0003,3160.300_214PO,609.316_214PO,0,0.000,1
2553.00,0.0001,2553.000_214PO,0.000_214PO,0,0.000,1
